char,yomi
a,小文字のエー
b,小文字のビー
c,小文字のシー
d,小文字のディー
e,小文字のイー
f,小文字のエフ
g,小文字のジー
h,小文字のエイチ
j,小文字のジェイ
k,小文字のケー
m,小文字のエム
n,小文字のエヌ
r,小文字のアール
s,小文字のエス
t,小文字のティー
u,小文字のユー
v,小文字のブイ
w,小文字のダブリュー
x,小文字のエックス
y,小文字のワイ
z,小文字のゼット
