char,yomi
A,大文字のエー
B,大文字のビー
C,大文字のシー
D,大文字のディー
E,大文字のイー
F,大文字のエフ
G,大文字のジー
H,大文字のエイチ
J,大文字のジェイ
K,大文字のケー
L,大文字のエル
M,大文字のエム
N,大文字のエヌ
Q,大文字のキュー
R,大文字のアール
S,大文字のエス
T,大文字のティー
W,大文字のダブリュー
X,大文字のエックス
Y,大文字のワイ
Z,大文字のゼット
